id,nome,data_nascimento,cpf,cep,cidade,estado,pais,genero,telefone,email,data_cadastro
47b3f41c-76d3-4a19-8a10-8950251c52d3,João Felipe Siqueira,2004-01-01,505.846.009-46,62316524,Gonçalves Verde,RR,Brasil,M,(081) 7134-0924,50584600946@exemplo.com.br,2024-09-25
a48c700e-0b1d-4276-b492-4511ac2dc1ba,Alana Guerra,1975-02-08,831.794.481-74,19364048,Freitas de da Luz,MS,Brasil,M,31 1288-4017,83179448174@exemplo.com.br,2025-02-22
0f0fc565-b6f0-457a-87d3-7d9feb9d6fba,Otávio Nogueira,1977-07-15,000.824.002-31,77637-245,Siqueira de Goiás,RR,Brasil,F,21 3075-6407,00082400231@exemplo.com.br,2024-02-02
385d0681-84fd-4443-9287-65364fac3ca8,Eduardo Vieira,1937-01-20,463.342.011-90,85553958,Nunes da Mata,SE,Brasil,M,+55 (061) 3105 2243,46334201190@exemplo.com.br,2024-09-19
4ce82f58-44bd-4684-bffe-66aa4bcaf864,Cecília Martins,1986-08-18,849.870.081-98,07590882,Caldeira,MG,Brasil,M,+55 31 2079-9372,84987008198@exemplo.com.br,2024-05-17
6e7270c7-6af8-452f-82e2-5d55cadc9bc8,Mariana Aragão,1999-11-17,238.822.709-35,57915-185,Guerra da Serra,SE,Brasil,M,(031) 3701 9371,23882270935@exemplo.com.br,2024-05-25
983880df-5e66-4512-ad3c-1e569fab1d3b,Otávio Montenegro,1937-07-13,394.450.659-79,44756-894,Viana Paulista,MG,Brasil,M,+55 (071) 4401 4414,39445065979@exemplo.com.br,2024-08-23
421c0dc1-b51f-498c-bba8-a9fae3582d5a,Dr. Arthur Miguel Machado,1936-08-23,947.463.610-59,69194-960,Abreu,PA,Brasil,M,+55 84 3574 5045,94746361059@exemplo.com.br,2025-08-02
eec39761-0905-4357-be3e-82d64f599ec0,Giovanna Sales,1947-02-18,648.553.178-74,45615-804,Moreira,MS,Brasil,F,(081) 9605-8965,64855317874@exemplo.com.br,2025-01-28
66aac387-f3b6-497a-8251-138b46269f59,Mirella Câmara,1964-09-01,868.195.958-29,63793-997,Alves,MS,Brasil,M,+55 51 8524 3241,86819595829@exemplo.com.br,2025-03-15
130dc28a-19c6-4506-8dcb-7b7d0672c86e,Brenda Pinto,1982-08-15,473.192.159-38,26677290,da Mota das Pedras,GO,Brasil,M,0300-002-1602,47319215938@exemplo.com.br,2023-08-30
347d0104-d058-45e7-8de9-a71530767c55,Srta. Ana Beatriz Azevedo,1944-08-16,857.093.357-03,16193268,Macedo,RO,Brasil,M,+55 21 8456 6366,85709335703@exemplo.com.br,2023-12-20
7c2842df-6944-4aa3-b67e-5683eb73aa4e,Marcos Vinicius Marques,1965-04-28,810.179.081-23,32259-350,das Neves de Siqueira,BA,Brasil,M,81 6767-7226,81017908123@exemplo.com.br,2025-07-25
fa7da214-65fe-49db-aecf-657c6fc7a28a,Yasmin Costela,1967-01-16,486.760.405-33,08423-613,Siqueira,PB,Brasil,M,11 6129-1851,48676040533@exemplo.com.br,2025-05-02
376cc5cf-e0fc-421f-977b-a4983e7fa462,Sarah Lima,2006-05-10,329.588.108-98,57577212,Pastor do Campo,PE,Brasil,M,+55 (081) 8022-0785,32958810898@exemplo.com.br,2025-01-06
a69f189c-6afd-4c1d-9c6b-f7ebc3615440,Ana Sophia Fernandes,1979-09-18,953.539.740-18,28752-177,Nascimento,RO,Brasil,M,11 4853 3826,95353974018@exemplo.com.br,2025-03-30
f1950175-48e9-4fe3-9648-9b5fceaf78d1,Matteo Camargo,1948-05-11,993.845.152-73,50231524,Pereira,AP,Brasil,F,+55 41 4042 3617,99384515273@exemplo.com.br,2025-04-28
83f1da91-4860-4178-9c26-e8164efc466e,Ana Lívia Casa Grande,1988-01-29,672.449.394-89,92888431,Cardoso,PE,Brasil,M,21 6302-1981,67244939489@exemplo.com.br,2025-01-27
f23657d7-bfad-4e88-9842-dc3b83d09081,Vinicius Costa,1939-01-01,016.811.409-47,41400269,Abreu do Sul,DF,Brasil,F,81 8235-4596,01681140947@exemplo.com.br,2024-12-21
a7284e5a-d41c-42c0-984c-8aad0522c2ec,Zoe Sousa,1962-11-03,549.771.876-00,91844934,Cassiano,AM,Brasil,F,0900-088-0702,54977187600@exemplo.com.br,2024-08-19
3f26c013-b9f3-4a63-8cfe-5e105c760623,Agatha Porto,1992-08-29,161.159.349-75,83765338,Brito,AL,Brasil,M,41 0596-0517,16115934975@exemplo.com.br,2024-01-27
c1d5c435-a9b0-41f3-957d-c3f36571b5f6,Emanuella das Neves,1942-11-23,608.667.892-26,34651-332,Martins de Campos,RS,Brasil,M,(021) 4464-1587,60866789226@exemplo.com.br,2024-07-05
94075a57-5340-4322-932d-17b3e6ffb481,Maria Helena Castro,2006-03-31,268.968.979-39,32679-183,Oliveira,AL,Brasil,F,0300 816 0655,26896897939@exemplo.com.br,2025-02-04
664c4149-55cf-4301-b3cc-a06b2fc428a0,Théo Cavalcante,1939-06-24,058.456.582-88,12145348,Ferreira do Sul,MS,Brasil,F,71 8353 1073,05845658288@exemplo.com.br,2025-02-07
773e0d87-1761-45d0-9911-eb4c27907b87,Srta. Emanuella Silva,1978-10-15,467.972.034-29,16723-907,Cavalcante de da Cruz,PI,Brasil,F,51 7108 9692,46797203429@exemplo.com.br,2023-09-16
992a973f-c4cc-4d60-b94a-7fc5a291e823,Luísa da Paz,1971-08-20,772.613.952-61,86817-961,Santos de Castro,SE,Brasil,M,+55 81 3812-6006,77261395261@exemplo.com.br,2024-05-19
59fe1b07-047e-4763-9af7-b7bd91337cc5,Oliver Cardoso,1949-12-29,819.938.006-72,89663-785,da Cruz dos Dourados,RJ,Brasil,M,51 5714 2625,81993800672@exemplo.com.br,2025-06-14
a18bfaab-7f9c-4c2e-87d9-04b025265bd9,Enzo Sá,1938-10-15,851.732.438-34,99664-510,Moreira,PI,Brasil,F,61 3519-1616,85173243834@exemplo.com.br,2024-05-15
f7ad1a39-2713-45b3-b128-3edcfa111078,Maria Clara da Cruz,1984-10-03,064.985.400-65,90567-857,Lopes de Cardoso,SP,Brasil,M,+55 11 8688-7844,06498540065@exemplo.com.br,2024-08-22
1359ec68-26e9-4840-80d5-b505368531f0,Camila da Mata,1937-01-18,936.299.111-66,46940-333,Azevedo Paulista,SP,Brasil,M,+55 (081) 9336 4870,93629911166@exemplo.com.br,2024-07-28
ab2ef4fb-f820-4646-8cf1-7d8dc2c1d410,Dra. Marina Pinto,1992-03-13,063.770.911-97,73742-352,Silveira,AL,Brasil,F,11 4296-9842,06377091197@exemplo.com.br,2025-05-18
f46501bc-049b-40c5-9fbb-ddd9ac01b0f7,Pedro Miguel Novaes,1999-07-17,637.708.774-62,17680779,Souza,AL,Brasil,M,(061) 7628 0128,63770877462@exemplo.com.br,2024-09-05
06a2dd1b-318f-4a16-b719-24771b44916a,Ana Júlia Abreu,1967-05-09,608.329.954-53,35357-934,Marques,PA,Brasil,F,0900-094-4408,60832995453@exemplo.com.br,2025-06-04
f716eed8-2a0c-4cf7-9ad7-5be57973c495,Luiz Otávio Novaes,1938-09-29,185.986.546-37,64766-396,Nogueira da Serra,RN,Brasil,F,(081) 9231-4422,18598654637@exemplo.com.br,2023-12-14
d1f81f75-ab77-4453-9d40-27d123d79036,Matteo Moraes,1937-07-24,810.579.645-25,24724-614,Fernandes Grande,AL,Brasil,F,(081) 5765 9532,81057964525@exemplo.com.br,2024-05-26
94958c89-9484-4f0c-82ce-d266e151c4ef,Bruna Oliveira,1993-01-05,934.588.651-47,08427099,Azevedo,RO,Brasil,M,+55 (021) 4829 8544,93458865147@exemplo.com.br,2025-06-20
7b1a4c8d-0334-45a9-8bd1-6aba47063e6f,Bella Câmara,1962-11-21,631.940.880-39,17030-483,Lima,RR,Brasil,F,+55 84 0080-3002,63194088039@exemplo.com.br,2024-07-10
93c54441-3bd2-44df-9b40-0b1f9763dbce,Alice da Rocha,1970-02-02,893.654.777-38,75565-049,da Costa,CE,Brasil,M,+55 81 5354 9102,89365477738@exemplo.com.br,2025-04-14
43452887-2c5b-47a6-8664-d9d4b522f2c4,Vitor Gabriel Costela,1963-03-17,509.716.782-58,87243194,da Conceição,RN,Brasil,F,+55 84 9898 1953,50971678258@exemplo.com.br,2023-09-11
c2f3a536-b998-459a-bd81-229df2b40491,Oliver da Costa,1953-11-17,170.538.209-95,46735059,da Cruz,MG,Brasil,M,(071) 7719 1593,17053820995@exemplo.com.br,2023-12-29
a573a688-127a-43ef-8918-19e3cd2c9197,Lucca da Luz,1966-02-11,285.935.369-89,53966-170,da Rosa,AM,Brasil,F,+55 (051) 9608-4430,28593536989@exemplo.com.br,2023-09-13
02beead5-38c9-46e3-80ed-28fe2bf3dcec,Pedro Lucas Rezende,1981-10-25,257.753.338-71,74300-684,Brito,RN,Brasil,F,+55 (061) 8836 5500,25775333871@exemplo.com.br,2024-10-02
